model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,1,1,5.651394911030987,39.11774663228256
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,1,1,29.4335907450736,42.23059163764701
ensemble,,,curated (log) + family,1,1,21.480698330356027,38.33205321203475
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,1,2,38.428155989141814,40.60218245411419
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,1,2,19.153948609772208,36.40724310864123
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,old 12,1,2,23.704256537046533,31.694170260540645
ensemble,,,old 12,1,2,24.17523279174512,33.82746299410035
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,1,2,36.065429705526874,37.02914602831167
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,curated,1,2,12.979624303399136,40.986259540185344
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated,1,2,23.452607270521625,36.9292869555379
ensemble,,,curated,1,2,21.56098276400338,35.26824433334599
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),1,2,36.661091500961604,36.03868921794949
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,curated (log),1,2,12.979624303399136,40.986259540185344
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated (log),1,2,23.516639817280552,35.618041424462646
ensemble,,,curated (log),1,2,21.6499020043488,33.94507900433616
