strategy,seed,experiment,row,boiling_point,in_spec,hits,cmpdname
random,12,115,904,447.15,False,19,"2,2,6-Trimethyloctane"
random,12,116,549,408.65,False,19,"1,7-Octadiyne"
random,12,117,148,432.15,False,19,2-Heptanol
random,12,118,863,367.15,False,19,2-Methyl-3-hexyne
random,12,119,747,437.00143,False,19,3-Ethyl-3-methylheptane
random,12,120,132,594.15,False,19,Hexadecylamine
random,12,121,1141,458.15,True,20,4-Tert-butyl-2-methylheptane
random,12,122,1065,350.15,False,20,"cis-3-Methyl-1,3-Pentadiene"
random,12,123,530,450.15,False,20,"2-Methylpropane-1,2-diol"
random,12,124,983,450.15,False,20,"3-Ethyl-2,4,5-trimethylhexane"
random,12,125,252,629.15,False,20,1-Eicosanol
random,12,126,181,284.15,False,20,"1,2-Butadiene"
random,12,127,142,487.85,False,20,"1,3-Propanediol"
random,12,128,231,409.15,False,20,2-Hexanol
random,12,129,364,471.15,True,21,"1,1,4,7,7-Pentamethyldiethylenetriamine"
random,12,130,618,420.65,False,21,3-Nonene
random,12,131,1121,620.44,False,21,Octadec-7-yne
random,12,132,928,730.15,False,21,1-Hentriacontene
random,12,133,443,437.15,False,21,5-Methylnonane
random,12,134,121,517.15,False,21,"2,2-Diethyl-1,3-propanediol"
random,12,135,827,430.15,False,21,"2,4-Dimethyl-3-isopropylpentane"
random,12,136,838,433.96,False,21,4-Ethyl-4-methylheptane
random,12,137,1235,451.15,False,21,"4,4-Dimethylnonane"
random,12,138,622,460.5,True,22,4-Heptyn-2-ol
random,12,139,373,346.15,False,22,"2-Ethyl-1,3-butadiene"
random,12,140,957,371.15,False,22,trans-2-Heptene
random,12,141,931,480.22385,False,22,3-Ethyldecane
random,12,142,1022,478.54,False,22,3-Octen-2-OL
random,12,143,702,356.15,False,22,"4,4-Dimethyl-2-pentyne"
random,12,144,303,524.25,False,22,1-Tetradecene
random,12,145,627,465.15,True,23,3-Methyldecane
random,12,146,585,618.15,False,23,1-Nonadecanol
random,12,147,243,508.55,False,23,Tridecane
random,12,148,108,533.15,False,23,"N,N-Dimethyldodecylamine"
